,day_sin,day_cos,month_sin,month_cos,dow_sin,dow_cos,is_weekend,hour_sin,hour_cos,load,temp
2025-11-01 18:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.9659258262890683,-0.25881904510252063,46754.5,15.37
2025-11-01 19:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-1.0,-1.8369701987210297e-16,47373.5,15.04
2025-11-01 20:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.9659258262890684,0.2588190451025203,44943.75,14.6
2025-11-01 21:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.8660254037844386,0.5000000000000001,43346.0,14.28
2025-11-01 22:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.7071067811865477,0.7071067811865474,44255.5,13.99
2025-11-01 23:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.5000000000000004,0.8660254037844384,44641.25,13.74
2025-11-02 00:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,-0.25881904510252157,0.9659258262890681,42519.75,13.64
2025-11-02 01:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.0,1.0,40341.5,13.44
2025-11-02 02:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.25881904510252074,0.9659258262890683,38739.0,13.25
2025-11-02 03:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.49999999999999994,0.8660254037844387,36687.5,12.96
2025-11-02 04:00:00+01:00,0.39435585511331855,0.9189578116202306,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1,0.7071067811865475,0.7071067811865476,35363.0,12.79
